GEOFIPS,Geo_QName,Geo_NAME,Occupied Housing Units,Owner Occupied,Renter Occupied,Median Value
06037108102,"Census Tract 1081.02, Los Angeles County, California",Census Tract 1081.02,1141,1015,126,802300
06037108103,"Census Tract 1081.03, Los Angeles County, California",Census Tract 1081.03,981,888,93,918200
06037108104,"Census Tract 1081.04, Los Angeles County, California",Census Tract 1081.04,559,489,70,861800
06037108202,"Census Tract 1082.02, Los Angeles County, California",Census Tract 1082.02,3002,2050,952,969500
06037108203,"Census Tract 1082.03, Los Angeles County, California",Census Tract 1082.03,1148,804,344,753000
06037108204,"Census Tract 1082.04, Los Angeles County, California",Census Tract 1082.04,650,589,61,774200
06037109100,"Census Tract 1091, Los Angeles County, California",Census Tract 1091,808,578,230,478500
06037109200,"Census Tract 1092, Los Angeles County, California",Census Tract 1092,1013,843,170,642200
06037109300,"Census Tract 1093, Los Angeles County, California",Census Tract 1093,927,827,100,618000
06037109400,"Census Tract 1094, Los Angeles County, California",Census Tract 1094,1126,794,332,463600
06037109500,"Census Tract 1095, Los Angeles County, California",Census Tract 1095,1011,680,331,587600
06037109601,"Census Tract 1096.01, Los Angeles County, California",Census Tract 1096.01,1348,1190,158,614200
06037109603,"Census Tract 1096.03, Los Angeles County, California",Census Tract 1096.03,1274,772,502,596800
06037109604,"Census Tract 1096.04, Los Angeles County, California",Census Tract 1096.04,885,675,210,555000
06037109700,"Census Tract 1097, Los Angeles County, California",Census Tract 1097,1376,1031,345,607500
06037109800,"Census Tract 1098, Los Angeles County, California",Census Tract 1098,1457,1029,428,626900
06037111100,"Census Tract 1111, Los Angeles County, California",Census Tract 1111,949,623,326,624200
06037111201,"Census Tract 1112.01, Los Angeles County, California",Census Tract 1112.01,1036,899,137,696800
06037111202,"Census Tract 1112.02, Los Angeles County, California",Census Tract 1112.02,1879,1166,713,649500
06037111204,"Census Tract 1112.04, Los Angeles County, California",Census Tract 1112.04,1831,1622,209,897500
06037111205,"Census Tract 1112.05, Los Angeles County, California",Census Tract 1112.05,1294,649,645,568700
06037111206,"Census Tract 1112.06, Los Angeles County, California",Census Tract 1112.06,1425,1328,97,786400
06037111302,"Census Tract 1113.02, Los Angeles County, California",Census Tract 1113.02,1756,845,911,661100
06037111303,"Census Tract 1113.03, Los Angeles County, California",Census Tract 1113.03,1441,932,509,654300
06037111304,"Census Tract 1113.04, Los Angeles County, California",Census Tract 1113.04,1332,42,1290,
06037111401,"Census Tract 1114.01, Los Angeles County, California",Census Tract 1114.01,679,469,210,635500
06037111402,"Census Tract 1114.02, Los Angeles County, California",Census Tract 1114.02,2166,418,1748,631700
06037113101,"Census Tract 1131.01, Los Angeles County, California",Census Tract 1131.01,1152,1012,140,721200
06037113102,"Census Tract 1131.02, Los Angeles County, California",Census Tract 1131.02,954,892,62,997400
06037113211,"Census Tract 1132.11, Los Angeles County, California",Census Tract 1132.11,1607,1179,428,613300
06037113212,"Census Tract 1132.12, Los Angeles County, California",Census Tract 1132.12,945,540,405,628500
06037113213,"Census Tract 1132.13, Los Angeles County, California",Census Tract 1132.13,1712,1135,577,621000
06037113231,"Census Tract 1132.31, Los Angeles County, California",Census Tract 1132.31,833,700,133,819800
06037113232,"Census Tract 1132.32, Los Angeles County, California",Census Tract 1132.32,1500,1193,307,761800
06037113234,"Census Tract 1132.34, Los Angeles County, California",Census Tract 1132.34,1599,697,902,
06037113235,"Census Tract 1132.35, Los Angeles County, California",Census Tract 1132.35,646,441,205,574700
06037113237,"Census Tract 1132.37, Los Angeles County, California",Census Tract 1132.37,1595,1088,507,763600
06037113238,"Census Tract 1132.38, Los Angeles County, California",Census Tract 1132.38,1451,356,1095,418800
06037113239,"Census Tract 1132.39, Los Angeles County, California",Census Tract 1132.39,896,300,596,
06037113301,"Census Tract 1133.01, Los Angeles County, California",Census Tract 1133.01,1525,717,808,890000
06037113303,"Census Tract 1133.03, Los Angeles County, California",Census Tract 1133.03,1284,1061,223,626100
06037113322,"Census Tract 1133.22, Los Angeles County, California",Census Tract 1133.22,1530,1139,391,721800
06037113323,"Census Tract 1133.23, Los Angeles County, California",Census Tract 1133.23,1506,446,1060,529000
06037113324,"Census Tract 1133.24, Los Angeles County, California",Census Tract 1133.24,989,111,878,361700
06037113423,"Census Tract 1134.23, Los Angeles County, California",Census Tract 1134.23,878,597,281,615200
06037113424,"Census Tract 1134.24, Los Angeles County, California",Census Tract 1134.24,1017,716,301,622900
06037113425,"Census Tract 1134.25, Los Angeles County, California",Census Tract 1134.25,1373,64,1309,411100
06037113426,"Census Tract 1134.26, Los Angeles County, California",Census Tract 1134.26,737,371,366,631300
06037113427,"Census Tract 1134.27, Los Angeles County, California",Census Tract 1134.27,957,292,665,412500
06037113428,"Census Tract 1134.28, Los Angeles County, California",Census Tract 1134.28,1083,919,164,572600
06037115101,"Census Tract 1151.01, Los Angeles County, California",Census Tract 1151.01,1844,1624,220,904600
06037115103,"Census Tract 1151.03, Los Angeles County, California",Census Tract 1151.03,5,0,5,
06037115104,"Census Tract 1151.04, Los Angeles County, California",Census Tract 1151.04,2026,590,1436,486000
06037115202,"Census Tract 1152.02, Los Angeles County, California",Census Tract 1152.02,2005,866,1139,622600
06037115203,"Census Tract 1152.03, Los Angeles County, California",Census Tract 1152.03,1069,233,836,920400
06037115204,"Census Tract 1152.04, Los Angeles County, California",Census Tract 1152.04,1604,525,1079,664800
06037115301,"Census Tract 1153.01, Los Angeles County, California",Census Tract 1153.01,1635,823,812,692300
06037115302,"Census Tract 1153.02, Los Angeles County, California",Census Tract 1153.02,1083,357,726,622700
06037115401,"Census Tract 1154.01, Los Angeles County, California",Census Tract 1154.01,1926,688,1238,738500
06037115403,"Census Tract 1154.03, Los Angeles County, California",Census Tract 1154.03,1022,267,755,634400
06037115404,"Census Tract 1154.04, Los Angeles County, California",Census Tract 1154.04,800,381,419,612800
06037117101,"Census Tract 1171.01, Los Angeles County, California",Census Tract 1171.01,1453,958,495,500600
06037117102,"Census Tract 1171.02, Los Angeles County, California",Census Tract 1171.02,815,624,191,577700
06037117201,"Census Tract 1172.01, Los Angeles County, California",Census Tract 1172.01,1190,373,817,565300
06037117202,"Census Tract 1172.02, Los Angeles County, California",Census Tract 1172.02,929,658,271,610600
06037117301,"Census Tract 1173.01, Los Angeles County, California",Census Tract 1173.01,1092,849,243,630300
06037117302,"Census Tract 1173.02, Los Angeles County, California",Census Tract 1173.02,1557,1212,345,634800
06037117303,"Census Tract 1173.03, Los Angeles County, California",Census Tract 1173.03,1180,972,208,651000
06037117404,"Census Tract 1174.04, Los Angeles County, California",Census Tract 1174.04,1375,1050,325,655300
06037117405,"Census Tract 1174.05, Los Angeles County, California",Census Tract 1174.05,861,77,784,278500
06037117407,"Census Tract 1174.07, Los Angeles County, California",Census Tract 1174.07,1007,5,1002,
06037117408,"Census Tract 1174.08, Los Angeles County, California",Census Tract 1174.08,716,101,615,477300
06037117510,"Census Tract 1175.10, Los Angeles County, California",Census Tract 1175.10,1033,157,876,354600
06037117520,"Census Tract 1175.20, Los Angeles County, California",Census Tract 1175.20,1077,153,924,431200
06037117530,"Census Tract 1175.30, Los Angeles County, California",Census Tract 1175.30,1699,322,1377,419700
06037119001,"Census Tract 1190.01, Los Angeles County, California",Census Tract 1190.01,1012,823,189,545700
06037119003,"Census Tract 1190.03, Los Angeles County, California",Census Tract 1190.03,860,696,164,485300
06037119004,"Census Tract 1190.04, Los Angeles County, California",Census Tract 1190.04,759,544,215,563400
06037119201,"Census Tract 1192.01, Los Angeles County, California",Census Tract 1192.01,849,703,146,550100
06037119202,"Census Tract 1192.02, Los Angeles County, California",Census Tract 1192.02,1133,893,240,499800
06037119310,"Census Tract 1193.10, Los Angeles County, California",Census Tract 1193.10,1243,685,558,386700
06037119320,"Census Tract 1193.20, Los Angeles County, California",Census Tract 1193.20,1270,369,901,436700
06037119340,"Census Tract 1193.40, Los Angeles County, California",Census Tract 1193.40,1029,3,1026,
