GEOFIPS,Geo_QName,Geo_NAME,Occupied Housing Units,Owner Occupied,Renter Occupied,Median Value
06037207712,"Census Tract 2077.12, Los Angeles County, California",Census Tract 2077.12,2730,289,2441,768400
06037207901,"Census Tract 2079.01, Los Angeles County, California",Census Tract 2079.01,1793,90,1703,625000
06037207902,"Census Tract 2079.02, Los Angeles County, California",Census Tract 2079.02,3928,343,3585,910700
06037208001,"Census Tract 2080.01, Los Angeles County, California",Census Tract 2080.01,1132,15,1117,
06037208002,"Census Tract 2080.02, Los Angeles County, California",Census Tract 2080.02,1262,147,1115,705100
06037208301,"Census Tract 2083.01, Los Angeles County, California",Census Tract 2083.01,575,35,540,
06037208302,"Census Tract 2083.02, Los Angeles County, California",Census Tract 2083.02,1787,254,1533,831100
06037208401,"Census Tract 2084.01, Los Angeles County, California",Census Tract 2084.01,1437,31,1406,703900
06037208402,"Census Tract 2084.02, Los Angeles County, California",Census Tract 2084.02,840,127,713,784800
06037208501,"Census Tract 2085.01, Los Angeles County, California",Census Tract 2085.01,850,103,747,858800
06037208502,"Census Tract 2085.02, Los Angeles County, California",Census Tract 2085.02,1464,0,1464,
06037208610,"Census Tract 2086.10, Los Angeles County, California",Census Tract 2086.10,1515,130,1385,776800
06037208620,"Census Tract 2086.20, Los Angeles County, California",Census Tract 2086.20,1536,207,1329,678900
06037208710,"Census Tract 2087.10, Los Angeles County, California",Census Tract 2087.10,2072,243,1829,421000
06037208720,"Census Tract 2087.20, Los Angeles County, California",Census Tract 2087.20,1499,29,1470,
06037208801,"Census Tract 2088.01, Los Angeles County, California",Census Tract 2088.01,1369,18,1351,
06037208802,"Census Tract 2088.02, Los Angeles County, California",Census Tract 2088.02,1495,9,1486,
06037208902,"Census Tract 2089.02, Los Angeles County, California",Census Tract 2089.02,688,0,688,
06037208903,"Census Tract 2089.03, Los Angeles County, California",Census Tract 2089.03,1090,12,1078,
06037208904,"Census Tract 2089.04, Los Angeles County, California",Census Tract 2089.04,1373,18,1355,
06037209103,"Census Tract 2091.03, Los Angeles County, California",Census Tract 2091.03,1112,0,1112,
06037209104,"Census Tract 2091.04, Los Angeles County, California",Census Tract 2091.04,967,0,967,
06037209105,"Census Tract 2091.05, Los Angeles County, California",Census Tract 2091.05,1029,0,1029,
06037209106,"Census Tract 2091.06, Los Angeles County, California",Census Tract 2091.06,1194,113,1081,
06037209201,"Census Tract 2092.01, Los Angeles County, California",Census Tract 2092.01,1831,146,1685,662900
06037209202,"Census Tract 2092.02, Los Angeles County, California",Census Tract 2092.02,562,0,562,
06037209300,"Census Tract 2093, Los Angeles County, California",Census Tract 2093,2125,19,2106,
06037209401,"Census Tract 2094.01, Los Angeles County, California",Census Tract 2094.01,1547,20,1527,
06037209402,"Census Tract 2094.02, Los Angeles County, California",Census Tract 2094.02,1193,36,1157,
06037209403,"Census Tract 2094.03, Los Angeles County, California",Census Tract 2094.03,1492,18,1474,
06037209510,"Census Tract 2095.10, Los Angeles County, California",Census Tract 2095.10,966,8,958,
06037209520,"Census Tract 2095.20, Los Angeles County, California",Census Tract 2095.20,929,3,926,
06037209810,"Census Tract 2098.10, Los Angeles County, California",Census Tract 2098.10,743,25,718,
06037209820,"Census Tract 2098.20, Los Angeles County, California",Census Tract 2098.20,782,103,679,720100
06037210010,"Census Tract 2100.10, Los Angeles County, California",Census Tract 2100.10,1266,138,1128,398200
06037211000,"Census Tract 2110, Los Angeles County, California",Census Tract 2110,2002,1207,795,2000001
06037211121,"Census Tract 2111.21, Los Angeles County, California",Census Tract 2111.21,899,49,850,
06037211122,"Census Tract 2111.22, Los Angeles County, California",Census Tract 2111.22,1072,23,1049,
06037211123,"Census Tract 2111.23, Los Angeles County, California",Census Tract 2111.23,891,25,866,
06037211124,"Census Tract 2111.24, Los Angeles County, California",Census Tract 2111.24,2052,139,1913,483700
06037211201,"Census Tract 2112.01, Los Angeles County, California",Census Tract 2112.01,1034,59,975,692700
06037211202,"Census Tract 2112.02, Los Angeles County, California",Census Tract 2112.02,896,25,871,843800
06037211310,"Census Tract 2113.10, Los Angeles County, California",Census Tract 2113.10,1346,86,1260,695500
06037211320,"Census Tract 2113.20, Los Angeles County, California",Census Tract 2113.20,1246,9,1237,
06037211410,"Census Tract 2114.10, Los Angeles County, California",Census Tract 2114.10,1078,121,957,1563600
06037211420,"Census Tract 2114.20, Los Angeles County, California",Census Tract 2114.20,1314,206,1108,945700
06037211500,"Census Tract 2115, Los Angeles County, California",Census Tract 2115,1743,531,1212,1399300
06037211701,"Census Tract 2117.01, Los Angeles County, California",Census Tract 2117.01,1128,477,651,
06037211703,"Census Tract 2117.03, Los Angeles County, California",Census Tract 2117.03,2063,203,1860,456200
06037211704,"Census Tract 2117.04, Los Angeles County, California",Census Tract 2117.04,1573,153,1420,535300
06037211802,"Census Tract 2118.02, Los Angeles County, California",Census Tract 2118.02,2074,139,1935,
06037211803,"Census Tract 2118.03, Los Angeles County, California",Census Tract 2118.03,1512,126,1386,400000
06037211804,"Census Tract 2118.04, Los Angeles County, California",Census Tract 2118.04,1309,4,1305,
06037211910,"Census Tract 2119.10, Los Angeles County, California",Census Tract 2119.10,1869,55,1814,376400
06037211921,"Census Tract 2119.21, Los Angeles County, California",Census Tract 2119.21,949,0,949,
06037211922,"Census Tract 2119.22, Los Angeles County, California",Census Tract 2119.22,1346,9,1337,
06037212101,"Census Tract 2121.01, Los Angeles County, California",Census Tract 2121.01,1443,151,1292,525600
06037212102,"Census Tract 2121.02, Los Angeles County, California",Census Tract 2121.02,1188,15,1173,
06037212202,"Census Tract 2122.02, Los Angeles County, California",Census Tract 2122.02,1249,42,1207,909100
06037212203,"Census Tract 2122.03, Los Angeles County, California",Census Tract 2122.03,1500,0,1500,
06037212204,"Census Tract 2122.04, Los Angeles County, California",Census Tract 2122.04,1271,18,1253,
06037212303,"Census Tract 2123.03, Los Angeles County, California",Census Tract 2123.03,1618,19,1599,
06037212304,"Census Tract 2123.04, Los Angeles County, California",Census Tract 2123.04,731,10,721,
06037212305,"Census Tract 2123.05, Los Angeles County, California",Census Tract 2123.05,945,18,927,
06037212306,"Census Tract 2123.06, Los Angeles County, California",Census Tract 2123.06,1095,21,1074,511400
06037212410,"Census Tract 2124.10, Los Angeles County, California",Census Tract 2124.10,1497,42,1455,604200
06037212420,"Census Tract 2124.20, Los Angeles County, California",Census Tract 2124.20,1163,24,1139,
06037212501,"Census Tract 2125.01, Los Angeles County, California",Census Tract 2125.01,900,24,876,1092100
06037212502,"Census Tract 2125.02, Los Angeles County, California",Census Tract 2125.02,1323,81,1242,768900
06037212610,"Census Tract 2126.10, Los Angeles County, California",Census Tract 2126.10,1808,360,1448,802600
06037212620,"Census Tract 2126.20, Los Angeles County, California",Census Tract 2126.20,1739,72,1667,869000
06037212701,"Census Tract 2127.01, Los Angeles County, California",Census Tract 2127.01,796,328,468,1089300
06037212702,"Census Tract 2127.02, Los Angeles County, California",Census Tract 2127.02,1378,583,795,1094500
06037212800,"Census Tract 2128, Los Angeles County, California",Census Tract 2128,1369,605,764,1102400
06037212900,"Census Tract 2129, Los Angeles County, California",Census Tract 2129,1440,160,1280,1028600
06037213100,"Census Tract 2131, Los Angeles County, California",Census Tract 2131,1033,279,754,1050300
06037213201,"Census Tract 2132.01, Los Angeles County, California",Census Tract 2132.01,1625,135,1490,786900
06037213202,"Census Tract 2132.02, Los Angeles County, California",Census Tract 2132.02,1269,235,1034,638400
06037213310,"Census Tract 2133.10, Los Angeles County, California",Census Tract 2133.10,900,148,752,663700
06037213320,"Census Tract 2133.20, Los Angeles County, California",Census Tract 2133.20,976,81,895,648800
06037213401,"Census Tract 2134.01, Los Angeles County, California",Census Tract 2134.01,1607,23,1584,
06037213402,"Census Tract 2134.02, Los Angeles County, California",Census Tract 2134.02,1715,122,1593,790200
06037214000,"Census Tract 2140, Los Angeles County, California",Census Tract 2140,1259,702,557,1902000
06037214100,"Census Tract 2141, Los Angeles County, California",Census Tract 2141,1676,688,988,2000001
06037214400,"Census Tract 2144, Los Angeles County, California",Census Tract 2144,1759,38,1721,2000001
06037214501,"Census Tract 2145.01, Los Angeles County, California",Census Tract 2145.01,1543,54,1489,
06037214503,"Census Tract 2145.03, Los Angeles County, California",Census Tract 2145.03,1431,30,1401,
06037214504,"Census Tract 2145.04, Los Angeles County, California",Census Tract 2145.04,1596,75,1521,852300
06037214505,"Census Tract 2145.05, Los Angeles County, California",Census Tract 2145.05,897,0,897,
06037214600,"Census Tract 2146, Los Angeles County, California",Census Tract 2146,1211,228,983,
06037214700,"Census Tract 2147, Los Angeles County, California",Census Tract 2147,1141,513,628,1863800
06037214800,"Census Tract 2148, Los Angeles County, California",Census Tract 2148,1418,350,1068,1512200
06037214902,"Census Tract 2149.02, Los Angeles County, California",Census Tract 2149.02,1481,374,1107,859600
06037214903,"Census Tract 2149.03, Los Angeles County, California",Census Tract 2149.03,1073,205,868,714700
06037214904,"Census Tract 2149.04, Los Angeles County, California",Census Tract 2149.04,868,263,605,1058100
06037215101,"Census Tract 2151.01, Los Angeles County, California",Census Tract 2151.01,1749,85,1664,662500
06037215102,"Census Tract 2151.02, Los Angeles County, California",Census Tract 2151.02,1952,22,1930,
06037216100,"Census Tract 2161, Los Angeles County, California",Census Tract 2161,920,553,367,1510800
06037216201,"Census Tract 2162.01, Los Angeles County, California",Census Tract 2162.01,1385,324,1061,1923100
06037216202,"Census Tract 2162.02, Los Angeles County, California",Census Tract 2162.02,1372,381,991,1160000
06037216301,"Census Tract 2163.01, Los Angeles County, California",Census Tract 2163.01,627,471,156,1784300
06037216302,"Census Tract 2163.02, Los Angeles County, California",Census Tract 2163.02,1644,291,1353,910500
06037216401,"Census Tract 2164.01, Los Angeles County, California",Census Tract 2164.01,1679,131,1548,834200
06037216402,"Census Tract 2164.02, Los Angeles County, California",Census Tract 2164.02,1179,157,1022,802100
06037216700,"Census Tract 2167, Los Angeles County, California",Census Tract 2167,1555,595,960,1149800
06037216800,"Census Tract 2168, Los Angeles County, California",Census Tract 2168,1364,501,863,1570300
06037216901,"Census Tract 2169.01, Los Angeles County, California",Census Tract 2169.01,1311,750,561,1097800
06037216902,"Census Tract 2169.02, Los Angeles County, California",Census Tract 2169.02,1147,211,936,1305100
06037217001,"Census Tract 2170.01, Los Angeles County, California",Census Tract 2170.01,973,428,545,1442700
06037217002,"Census Tract 2170.02, Los Angeles County, California",Census Tract 2170.02,1896,413,1483,1135700
06037217101,"Census Tract 2171.01, Los Angeles County, California",Census Tract 2171.01,897,126,771,1555600
06037217102,"Census Tract 2171.02, Los Angeles County, California",Census Tract 2171.02,1260,415,845,1145500
06037217200,"Census Tract 2172, Los Angeles County, California",Census Tract 2172,1632,471,1161,1152700
06037218110,"Census Tract 2181.10, Los Angeles County, California",Census Tract 2181.10,1268,221,1047,987100
06037218120,"Census Tract 2181.20, Los Angeles County, California",Census Tract 2181.20,1296,306,990,669000
06037218210,"Census Tract 2182.10, Los Angeles County, California",Census Tract 2182.10,1166,198,968,826900
06037218220,"Census Tract 2182.20, Los Angeles County, California",Census Tract 2182.20,1386,469,917,1078700
06037218300,"Census Tract 2183, Los Angeles County, California",Census Tract 2183,2314,618,1696,872100
06037218400,"Census Tract 2184, Los Angeles County, California",Census Tract 2184,1351,409,942,689300
06037218500,"Census Tract 2185, Los Angeles County, California",Census Tract 2185,972,254,718,845700
06037218600,"Census Tract 2186, Los Angeles County, California",Census Tract 2186,1140,353,787,687900
06037218701,"Census Tract 2187.01, Los Angeles County, California",Census Tract 2187.01,819,307,512,761800
06037218702,"Census Tract 2187.02, Los Angeles County, California",Census Tract 2187.02,839,195,644,758700
06037218800,"Census Tract 2188, Los Angeles County, California",Census Tract 2188,979,192,787,826300
06037218900,"Census Tract 2189, Los Angeles County, California",Census Tract 2189,2181,257,1924,990800
06037219010,"Census Tract 2190.10, Los Angeles County, California",Census Tract 2190.10,1011,488,523,708200
06037219020,"Census Tract 2190.20, Los Angeles County, California",Census Tract 2190.20,1366,742,624,719800
06037219300,"Census Tract 2193, Los Angeles County, California",Census Tract 2193,1432,263,1169,720500
06037219500,"Census Tract 2195, Los Angeles County, California",Census Tract 2195,781,559,222,774600
06037219700,"Census Tract 2197, Los Angeles County, California",Census Tract 2197,1315,720,595,650500
06037219800,"Census Tract 2198, Los Angeles County, California",Census Tract 2198,941,326,615,631300
06037219901,"Census Tract 2199.01, Los Angeles County, California",Census Tract 2199.01,1514,317,1197,550500
06037219902,"Census Tract 2199.02, Los Angeles County, California",Census Tract 2199.02,1082,538,544,668800
06037220000,"Census Tract 2200, Los Angeles County, California",Census Tract 2200,2117,610,1507,625000
06037220100,"Census Tract 2201, Los Angeles County, California",Census Tract 2201,1064,529,535,855100
06037221110,"Census Tract 2211.10, Los Angeles County, California",Census Tract 2211.10,1069,157,912,796900
06037221120,"Census Tract 2211.20, Los Angeles County, California",Census Tract 2211.20,794,67,727,667800
06037221210,"Census Tract 2212.10, Los Angeles County, California",Census Tract 2212.10,869,267,602,848100
06037221220,"Census Tract 2212.20, Los Angeles County, California",Census Tract 2212.20,925,194,731,611600
06037221302,"Census Tract 2213.02, Los Angeles County, California",Census Tract 2213.02,1180,156,1024,693200
06037221303,"Census Tract 2213.03, Los Angeles County, California",Census Tract 2213.03,703,76,627,912500
06037221304,"Census Tract 2213.04, Los Angeles County, California",Census Tract 2213.04,1160,85,1075,643600
06037221401,"Census Tract 2214.01, Los Angeles County, California",Census Tract 2214.01,1107,163,944,645200
06037221402,"Census Tract 2214.02, Los Angeles County, California",Census Tract 2214.02,913,263,650,1165800
06037221500,"Census Tract 2215, Los Angeles County, California",Census Tract 2215,1059,209,850,869100
06037221601,"Census Tract 2216.01, Los Angeles County, California",Census Tract 2216.01,958,162,796,750000
06037221602,"Census Tract 2216.02, Los Angeles County, California",Census Tract 2216.02,914,109,805,645400
06037221710,"Census Tract 2217.10, Los Angeles County, California",Census Tract 2217.10,936,141,795,615300
06037221810,"Census Tract 2218.10, Los Angeles County, California",Census Tract 2218.10,900,60,840,645800
06037221820,"Census Tract 2218.20, Los Angeles County, California",Census Tract 2218.20,905,72,833,836400
06037221900,"Census Tract 2219, Los Angeles County, California",Census Tract 2219,870,74,796,656800
06037222001,"Census Tract 2220.01, Los Angeles County, California",Census Tract 2220.01,956,516,440,713700
06037222002,"Census Tract 2220.02, Los Angeles County, California",Census Tract 2220.02,1409,618,791,598400
06037222100,"Census Tract 2221, Los Angeles County, California",Census Tract 2221,1204,409,795,666900
06037222200,"Census Tract 2222, Los Angeles County, California",Census Tract 2222,1292,327,965,824600
06037222500,"Census Tract 2225, Los Angeles County, California",Census Tract 2225,1180,411,769,575700
06037222600,"Census Tract 2226, Los Angeles County, California",Census Tract 2226,1610,240,1370,509300
06037222700,"Census Tract 2227, Los Angeles County, California",Census Tract 2227,103,0,103,
06037224010,"Census Tract 2240.10, Los Angeles County, California",Census Tract 2240.10,1614,8,1606,
06037224020,"Census Tract 2240.20, Los Angeles County, California",Census Tract 2240.20,905,35,870,738600
06037224200,"Census Tract 2242, Los Angeles County, California",Census Tract 2242,749,49,700,745000
06037224310,"Census Tract 2243.10, Los Angeles County, California",Census Tract 2243.10,560,36,524,826900
06037224320,"Census Tract 2243.20, Los Angeles County, California",Census Tract 2243.20,1129,47,1082,619800
06037224410,"Census Tract 2244.10, Los Angeles County, California",Census Tract 2244.10,1075,207,868,774500
06037224420,"Census Tract 2244.20, Los Angeles County, California",Census Tract 2244.20,888,64,824,739100
06037224600,"Census Tract 2246, Los Angeles County, California",Census Tract 2246,794,125,669,692100
06037224701,"Census Tract 2247.01, Los Angeles County, California",Census Tract 2247.01,271,11,260,
06037224702,"Census Tract 2247.02, Los Angeles County, California",Census Tract 2247.02,691,0,691,
06037226001,"Census Tract 2260.01, Los Angeles County, California",Census Tract 2260.01,601,88,513,434000
06037226002,"Census Tract 2260.02, Los Angeles County, California",Census Tract 2260.02,1177,109,1068,573200
06037226410,"Census Tract 2264.10, Los Angeles County, California",Census Tract 2264.10,864,107,757,518600
06037226420,"Census Tract 2264.20, Los Angeles County, California",Census Tract 2264.20,1357,259,1098,573000
06037226701,"Census Tract 2267.01, Los Angeles County, California",Census Tract 2267.01,641,274,367,443000
06037226702,"Census Tract 2267.02, Los Angeles County, California",Census Tract 2267.02,900,353,547,482600
06037227010,"Census Tract 2270.10, Los Angeles County, California",Census Tract 2270.10,1077,164,913,432100
06037227020,"Census Tract 2270.20, Los Angeles County, California",Census Tract 2270.20,782,214,568,385700
06037228100,"Census Tract 2281, Los Angeles County, California",Census Tract 2281,1221,552,669,436800
06037228210,"Census Tract 2282.10, Los Angeles County, California",Census Tract 2282.10,1022,280,742,437400
06037228220,"Census Tract 2282.20, Los Angeles County, California",Census Tract 2282.20,966,304,662,460900
06037228310,"Census Tract 2283.10, Los Angeles County, California",Census Tract 2283.10,1051,248,803,447100
06037228320,"Census Tract 2283.20, Los Angeles County, California",Census Tract 2283.20,727,147,580,403800
06037228410,"Census Tract 2284.10, Los Angeles County, California",Census Tract 2284.10,732,139,593,458000
06037228420,"Census Tract 2284.20, Los Angeles County, California",Census Tract 2284.20,672,169,503,478400
06037228500,"Census Tract 2285, Los Angeles County, California",Census Tract 2285,1137,325,812,404000
06037228600,"Census Tract 2286, Los Angeles County, California",Census Tract 2286,1107,267,840,574200
06037228710,"Census Tract 2287.10, Los Angeles County, California",Census Tract 2287.10,1000,258,742,386800
06037228720,"Census Tract 2287.20, Los Angeles County, California",Census Tract 2287.20,1139,347,792,462500
06037228800,"Census Tract 2288, Los Angeles County, California",Census Tract 2288,1245,500,745,439300
06037228900,"Census Tract 2289, Los Angeles County, California",Census Tract 2289,789,120,669,441700
06037229100,"Census Tract 2291, Los Angeles County, California",Census Tract 2291,1101,480,621,464300
06037229200,"Census Tract 2292, Los Angeles County, California",Census Tract 2292,1205,210,995,364800
06037229300,"Census Tract 2293, Los Angeles County, California",Census Tract 2293,1362,401,961,493600
06037229410,"Census Tract 2294.10, Los Angeles County, California",Census Tract 2294.10,878,207,671,429400
06037229420,"Census Tract 2294.20, Los Angeles County, California",Census Tract 2294.20,1029,302,727,435400
06037231100,"Census Tract 2311, Los Angeles County, California",Census Tract 2311,690,80,610,431800
06037231210,"Census Tract 2312.10, Los Angeles County, California",Census Tract 2312.10,1160,135,1025,464200
06037231220,"Census Tract 2312.20, Los Angeles County, California",Census Tract 2312.20,1437,152,1285,570900
06037231301,"Census Tract 2313.01, Los Angeles County, California",Census Tract 2313.01,836,247,589,470500
06037231302,"Census Tract 2313.02, Los Angeles County, California",Census Tract 2313.02,835,371,464,616200
06037231400,"Census Tract 2314, Los Angeles County, California",Census Tract 2314,1522,647,875,563000
06037231500,"Census Tract 2315, Los Angeles County, California",Census Tract 2315,1461,915,546,620000
06037231601,"Census Tract 2316.01, Los Angeles County, California",Census Tract 2316.01,743,306,437,579800
06037231602,"Census Tract 2316.02, Los Angeles County, California",Census Tract 2316.02,611,308,303,547900
06037231603,"Census Tract 2316.03, Los Angeles County, California",Census Tract 2316.03,756,124,632,647200
06037231710,"Census Tract 2317.10, Los Angeles County, California",Census Tract 2317.10,1250,71,1179,
06037231720,"Census Tract 2317.20, Los Angeles County, California",Census Tract 2317.20,1473,285,1188,395500
06037231800,"Census Tract 2318, Los Angeles County, California",Census Tract 2318,1446,220,1226,540100
06037231901,"Census Tract 2319.01, Los Angeles County, California",Census Tract 2319.01,747,268,479,443000
06037231902,"Census Tract 2319.02, Los Angeles County, California",Census Tract 2319.02,789,253,536,474700
06037232110,"Census Tract 2321.10, Los Angeles County, California",Census Tract 2321.10,829,200,629,405600
06037232120,"Census Tract 2321.20, Los Angeles County, California",Census Tract 2321.20,1502,331,1171,471200
06037232200,"Census Tract 2322, Los Angeles County, California",Census Tract 2322,882,357,525,505800
06037232300,"Census Tract 2323, Los Angeles County, California",Census Tract 2323,1181,709,472,494500
06037232401,"Census Tract 2324.01, Los Angeles County, California",Census Tract 2324.01,1109,473,636,541300
06037232402,"Census Tract 2324.02, Los Angeles County, California",Census Tract 2324.02,930,506,424,556100
06037232500,"Census Tract 2325, Los Angeles County, California",Census Tract 2325,1486,652,834,501600
06037232601,"Census Tract 2326.01, Los Angeles County, California",Census Tract 2326.01,556,245,311,437800
06037232602,"Census Tract 2326.02, Los Angeles County, California",Census Tract 2326.02,1308,538,770,562500
06037232701,"Census Tract 2327.01, Los Angeles County, California",Census Tract 2327.01,558,236,322,547000
06037232702,"Census Tract 2327.02, Los Angeles County, California",Census Tract 2327.02,1012,313,699,556300
06037232800,"Census Tract 2328, Los Angeles County, California",Census Tract 2328,927,278,649,496000
06037234001,"Census Tract 2340.01, Los Angeles County, California",Census Tract 2340.01,994,666,328,838400
06037234002,"Census Tract 2340.02, Los Angeles County, California",Census Tract 2340.02,1027,442,585,640600
06037234200,"Census Tract 2342, Los Angeles County, California",Census Tract 2342,1117,801,316,759400
06037234301,"Census Tract 2343.01, Los Angeles County, California",Census Tract 2343.01,913,271,642,838100
06037234302,"Census Tract 2343.02, Los Angeles County, California",Census Tract 2343.02,1341,203,1138,692700
06037234501,"Census Tract 2345.01, Los Angeles County, California",Census Tract 2345.01,822,602,220,596000
06037234502,"Census Tract 2345.02, Los Angeles County, California",Census Tract 2345.02,1129,409,720,657600
06037234600,"Census Tract 2346, Los Angeles County, California",Census Tract 2346,1630,1066,564,634800
06037234700,"Census Tract 2347, Los Angeles County, California",Census Tract 2347,1342,690,652,501000
06037234800,"Census Tract 2348, Los Angeles County, California",Census Tract 2348,1160,658,502,470400
06037234901,"Census Tract 2349.01, Los Angeles County, California",Census Tract 2349.01,1263,28,1235,
06037234902,"Census Tract 2349.02, Los Angeles County, California",Census Tract 2349.02,1935,254,1681,539200
06037235100,"Census Tract 2351, Los Angeles County, California",Census Tract 2351,1773,1351,422,790700
06037235201,"Census Tract 2352.01, Los Angeles County, California",Census Tract 2352.01,943,742,201,516900
06037235202,"Census Tract 2352.02, Los Angeles County, California",Census Tract 2352.02,1754,557,1197,562700
06037236001,"Census Tract 2360.01, Los Angeles County, California",Census Tract 2360.01,1973,1507,466,695900
06037236101,"Census Tract 2361.01, Los Angeles County, California",Census Tract 2361.01,1323,460,863,682900
06037236102,"Census Tract 2361.02, Los Angeles County, California",Census Tract 2361.02,1846,464,1382,452000
06037236203,"Census Tract 2362.03, Los Angeles County, California",Census Tract 2362.03,1448,56,1392,
06037236204,"Census Tract 2362.04, Los Angeles County, California",Census Tract 2362.04,1231,0,1231,
06037236205,"Census Tract 2362.05, Los Angeles County, California",Census Tract 2362.05,1325,15,1310,
06037236206,"Census Tract 2362.06, Los Angeles County, California",Census Tract 2362.06,1311,0,1311,
06037236400,"Census Tract 2364, Los Angeles County, California",Census Tract 2364,2089,1081,1008,929800
06037237101,"Census Tract 2371.01, Los Angeles County, California",Census Tract 2371.01,1000,320,680,602100
06037237102,"Census Tract 2371.02, Los Angeles County, California",Census Tract 2371.02,999,241,758,459200
06037237201,"Census Tract 2372.01, Los Angeles County, California",Census Tract 2372.01,1021,420,601,432700
06037237202,"Census Tract 2372.02, Los Angeles County, California",Census Tract 2372.02,1216,480,736,478400
06037237300,"Census Tract 2373, Los Angeles County, California",Census Tract 2373,1798,1083,715,486000
06037237401,"Census Tract 2374.01, Los Angeles County, California",Census Tract 2374.01,1055,621,434,435700
06037237402,"Census Tract 2374.02, Los Angeles County, California",Census Tract 2374.02,1033,597,436,450900
06037237500,"Census Tract 2375, Los Angeles County, California",Census Tract 2375,796,106,690,450900
06037237600,"Census Tract 2376, Los Angeles County, California",Census Tract 2376,1162,299,863,379200
06037237710,"Census Tract 2377.10, Los Angeles County, California",Census Tract 2377.10,1091,155,936,336100
06037237720,"Census Tract 2377.20, Los Angeles County, California",Census Tract 2377.20,912,164,748,370100
06037237800,"Census Tract 2378, Los Angeles County, California",Census Tract 2378,1221,756,465,476700
06037237900,"Census Tract 2379, Los Angeles County, California",Census Tract 2379,1382,895,487,521800
06037238000,"Census Tract 2380, Los Angeles County, California",Census Tract 2380,2311,1328,983,500000
06037238100,"Census Tract 2381, Los Angeles County, California",Census Tract 2381,2083,692,1391,571300
06037238200,"Census Tract 2382, Los Angeles County, California",Census Tract 2382,2057,778,1279,445400
06037238310,"Census Tract 2383.10, Los Angeles County, California",Census Tract 2383.10,1374,66,1308,427300
06037238320,"Census Tract 2383.20, Los Angeles County, California",Census Tract 2383.20,1095,74,1021,500000
06037238400,"Census Tract 2384, Los Angeles County, California",Census Tract 2384,1736,1187,549,575200
06037239201,"Census Tract 2392.01, Los Angeles County, California",Census Tract 2392.01,843,153,690,491700
06037239202,"Census Tract 2392.02, Los Angeles County, California",Census Tract 2392.02,1239,206,1033,592000
06037239310,"Census Tract 2393.10, Los Angeles County, California",Census Tract 2393.10,991,180,811,446400
06037239320,"Census Tract 2393.20, Los Angeles County, California",Census Tract 2393.20,804,280,524,567300
06037239330,"Census Tract 2393.30, Los Angeles County, California",Census Tract 2393.30,732,269,463,406500
06037239501,"Census Tract 2395.01, Los Angeles County, California",Census Tract 2395.01,978,300,678,372700
06037239502,"Census Tract 2395.02, Los Angeles County, California",Census Tract 2395.02,877,309,568,463100
06037239601,"Census Tract 2396.01, Los Angeles County, California",Census Tract 2396.01,898,293,605,435500
06037239602,"Census Tract 2396.02, Los Angeles County, California",Census Tract 2396.02,903,263,640,428700
06037239701,"Census Tract 2397.01, Los Angeles County, California",Census Tract 2397.01,1114,302,812,422200
06037239702,"Census Tract 2397.02, Los Angeles County, California",Census Tract 2397.02,1144,295,849,456300
06037239801,"Census Tract 2398.01, Los Angeles County, California",Census Tract 2398.01,949,359,590,440400
06037239802,"Census Tract 2398.02, Los Angeles County, California",Census Tract 2398.02,1322,372,950,477600
06037240010,"Census Tract 2400.10, Los Angeles County, California",Census Tract 2400.10,1021,252,769,391400
06037240020,"Census Tract 2400.20, Los Angeles County, California",Census Tract 2400.20,1274,584,690,425400
06037240200,"Census Tract 2402, Los Angeles County, California",Census Tract 2402,1461,494,967,370100
06037240301,"Census Tract 2403.01, Los Angeles County, California",Census Tract 2403.01,916,215,701,490700
06037240302,"Census Tract 2403.02, Los Angeles County, California",Census Tract 2403.02,719,157,562,633400
06037240401,"Census Tract 2404.01, Los Angeles County, California",Census Tract 2404.01,1578,358,1220,455600
06037240402,"Census Tract 2404.02, Los Angeles County, California",Census Tract 2404.02,1139,558,581,387800
06037240500,"Census Tract 2405, Los Angeles County, California",Census Tract 2405,1682,411,1271,437300
06037240600,"Census Tract 2406, Los Angeles County, California",Census Tract 2406,1220,350,870,418200
06037240700,"Census Tract 2407, Los Angeles County, California",Census Tract 2407,1664,788,876,417600
06037240800,"Census Tract 2408, Los Angeles County, California",Census Tract 2408,1113,542,571,404900
06037240901,"Census Tract 2409.01, Los Angeles County, California",Census Tract 2409.01,586,333,253,414400
06037240902,"Census Tract 2409.02, Los Angeles County, California",Census Tract 2409.02,805,341,464,368200
06037241001,"Census Tract 2410.01, Los Angeles County, California",Census Tract 2410.01,1086,468,618,443800
06037241002,"Census Tract 2410.02, Los Angeles County, California",Census Tract 2410.02,975,409,566,442600
06037241110,"Census Tract 2411.10, Los Angeles County, California",Census Tract 2411.10,809,323,486,438400
06037241120,"Census Tract 2411.20, Los Angeles County, California",Census Tract 2411.20,1312,365,947,415800
06037241201,"Census Tract 2412.01, Los Angeles County, California",Census Tract 2412.01,934,502,432,439700
06037241202,"Census Tract 2412.02, Los Angeles County, California",Census Tract 2412.02,1645,700,945,451900
06037241300,"Census Tract 2413, Los Angeles County, California",Census Tract 2413,726,298,428,470800
06037241400,"Census Tract 2414, Los Angeles County, California",Census Tract 2414,942,402,540,414900
06037242000,"Census Tract 2420, Los Angeles County, California",Census Tract 2420,1114,298,816,421300
