"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037103400","Census Tract 1034","Census Tract 1034, Los Angeles County, California","00","06","037","103400",6046,4746.047,4049.817,92.50604,38.94991,366.1292,4.868739,4.868739,188.9071,1299.953,584.2487,6.816234,20.4487,2.921243,4.868739,533.6138,147.0359,6046,2445.08068932195,2445.08068932195,2359.39088420035,85.6898051215977,31,278604.968526487,2359.39088420035,1510.28281526816,849.108068932195
"06037104103","Census Tract 1041.03","Census Tract 1041.03, Los Angeles County, California","00","06","037","104103",3840,1442,370,780,12,206,2,1,71,2398,873,15,22,5,0,1347,136,3840,798,798,781,17,30,248050.11266451,781,681,100
"06037104105","Census Tract 1041.05","Census Tract 1041.05, Los Angeles County, California","00","06","037","104105",5232.68,1319.919,356.9781,610.9626,12.9992,290.9822,0.9999388,9.999388,36.99773,3912.76,1611.901,11.99927,35.9978,4.999694,1.999878,2019.876,225.9862,5232.67960768288,1398.91434571916,1398.91434571916,1343.91771311404,54.9966326051134,31,176450.852600159,1343.91771311404,684.958060627321,658.959652486722
"06037104108","Census Tract 1041.08","Census Tract 1041.08, Los Angeles County, California","00","06","037","104108",4203.098,1357.425,312.2626,861.0648,10.3228,122.1616,3.44073,3.441281,44.73096,2845.673,1142.401,32.68709,30.10806,0.8604734,5.161126,1495.955,138.5008,4203.0975934097,1059.81171071679,1059.81171071679,1038.30416198189,21.5075487349019,29,233681.907246737,1038.30416198189,475.714430613816,562.589731368076
"06037104124","Census Tract 1041.24","Census Tract 1041.24, Los Angeles County, California","00","06","037","104124",4059.001,2367,1258,760,20.00001,225,8,6.000001,90.00001,1692,697.0001,50,15,4,0,812.0001,114,4059.00061564273,1178.00020275167,1178.00020275167,1120.00018140939,58.0000213422814,30,249241.505483969,1120.00018140939,929.000126411975,191.000054997417
"06037104201","Census Tract 1042.01","Census Tract 1042.01, Los Angeles County, California","00","06","037","104201",4787,892,122,692,28,7,0,1,42,3895,1375,14,22,3,0,2347,134,4787,895,895,867,28,27,211025.399798543,867,638,229
"06037104203","Census Tract 1042.03","Census Tract 1042.03, Los Angeles County, California","00","06","037","104203",4848,1265.235,378.0807,687.8709,3.104111,145.2724,1.862466,3.104111,45.94084,3582.765,1395.608,14.27891,34.14522,0.6208221,0.6208221,1966.765,170.7261,4848,1090.16365731848,1090.16365731848,1056.01844026124,34.1452170572416,30,212911.248027996,1056.01844026124,642.550902804456,413.46753745678
"06037104204","Census Tract 1042.04","Census Tract 1042.04, Los Angeles County, California","00","06","037","104204",2961,772.7645,230.9193,420.1291,1.895889,88.72762,1.137534,1.895889,28.05916,2188.235,852.3919,8.721091,20.85478,0.3791779,0.3791779,1201.235,104.2739,2961,665.836342681522,665.836342681522,644.981559738764,20.8547829427584,30,212911.248027996,644.981559738764,392.449097195544,252.53246254322
"06037104310","Census Tract 1043.10","Census Tract 1043.10, Los Angeles County, California","00","06","037","104310",4981,505.7893,76.46968,364.6315,5.33137,27.81283,0,0.3937609,31.15009,4475.211,1532.442,14.30017,35.96291,0.3937609,5.575044,2691.246,195.2901,4981,905.934554973822,905.934554973822,882.271815008726,23.662739965096,30,222281.488692967,882.271815008726,618.168848167539,264.102966841187
"06037104320","Census Tract 1043.20","Census Tract 1043.20, Los Angeles County, California","00","06","037","104320",5695,753,83,558,10,63,1,0,38,4942,1898,17,100,9,0,2661,257,5695,1261,1261,1205,56,29,216039.900976946,1205,658,547
