"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Total Population","Housing Units","Housing Units","Housing Units: Occupied","Housing Units: Vacant","Average Commute to Work (in Min)","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2021]","Occupied Housing Units","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T013_014,SE_T013_015,SE_T013_016,SE_T013_017,SE_T001_001,SE_T155_001,SE_T157_001,SE_T157_002,SE_T157_003,SE_T198_001,SE_T163_001,SE_T156_001,SE_T156_002,SE_T156_003
"06037135114","Census Tract 1351.14","Census Tract 1351.14, Los Angeles County, California","00","06","037","135114",3626,3345.499,2653.597,174.936,9.651639,356.5074,5.429047,9.651639,135.7262,280.5007,168.3004,2.41291,2.41291,1.809682,0.6032274,72.99052,31.97105,3626,2513.64864415239,2513.64864415239,2168.60256196972,345.046082182665,27,290843.359833678,2168.60256196972,399.336549658959,1769.26601231076
"06037135201","Census Tract 1352.01","Census Tract 1352.01, Los Angeles County, California","00","06","037","135201",2449,2142,1774,69,6,211,0,5,77,307,182,4,2,6,0,86,27,2449,834,834,814,20,34,398091.000054971,814,678,136
"06037135202","Census Tract 1352.02","Census Tract 1352.02, Los Angeles County, California","00","06","037","135202",4283,3735,3098,81,23,417,3,2,111,548,338,2,6,8,0,133,61,4283,1496,1496,1479,17,31,359830.374274724,1479,1233,246
"06037135203","Census Tract 1352.03","Census Tract 1352.03, Los Angeles County, California","00","06","037","135203",6996,6366,5254,97,16,746,2,9,242,630,372,4,4,5,0,201,44,6996,2489,2489,2456,33,30,398334.479673714,2456,2160,296
"06037137103","Census Tract 1371.03","Census Tract 1371.03, Los Angeles County, California","00","06","037","137103",4619,4303.584,3487.765,213.831,10.03313,349.9052,8.151914,12.54141,221.3558,315.4164,178.715,3.135352,1.254141,7.524844,0.6270703,100.9583,23.2016,4619,2255.57195221287,2255.57195221287,2164.64675536248,90.9251968503938,31,422063.645312782,2164.64675536248,967.569508552811,1197.07724680967
"06037137104","Census Tract 1371.04","Census Tract 1371.04, Los Angeles County, California","00","06","037","137104",2747,2559.416,2074.235,127.169,5.966875,208.0948,4.848086,7.458594,131.6442,187.5836,106.285,1.864648,0.7458594,4.475156,0.3729297,60.04168,13.7984,2747,1341.42804778713,1341.42804778713,1287.35324463753,54.0748031496064,31,422063.645312782,1287.35324463753,575.43049144719,711.922753190335
"06037137201","Census Tract 1372.01","Census Tract 1372.01, Los Angeles County, California","00","06","037","137201",5121,4560,3753,200,15,364,7,8,213,561,296,1,2,2,0,207,53,5121,2402,2402,2345,57,27,408831.158198536,2345,1097,1248
"06037137301","Census Tract 1373.01","Census Tract 1373.01, Los Angeles County, California","00","06","037","137301",2174,2029,1784,46,1,120,2,18,58,145,86,0,7,6,0,37,9,2174,755,755,736,19,26,587341.443408938,736,672,64
"06037137302","Census Tract 1373.02","Census Tract 1373.02, Los Angeles County, California","00","06","037","137302",4392,4177,3722,83,7,262,2,6,95,215,151,0,3,6,0,29,26,4392,1606,1606,1584,22,32,596177.214646527,1584,1506,78
"06037137401","Census Tract 1374.01","Census Tract 1374.01, Los Angeles County, California","00","06","037","137401",4299,3954,3508,77,8,182,8,7,164,345,204,1,2,4,0,88,46,4299,1900,1900,1825,75,32,475396.810195917,1825,1417,408
"06037137402","Census Tract 1374.02","Census Tract 1374.02, Los Angeles County, California","00","06","037","137402",5305.922,5024.131,4349.599,116.8403,6.872956,313.2104,3.927404,15.70961,217.9709,281.7912,184.588,1.963702,2.945553,1.963702,0,69.71141,20.61887,5305.92224592005,2008.86693470622,2008.86693470622,1940.13737193524,68.7295627709851,34,562341.05244418,1940.13737193524,1570.96143476537,369.175937169863
"06037137501","Census Tract 1375.01","Census Tract 1375.01, Los Angeles County, California","00","06","037","137501",3748,3385.747,2799.517,186.6636,2.037126,259.2669,0.004640802,9.06033,129.1973,362.2532,169.6243,4.013922,7.037126,2.009282,0,158.2252,21.34342,3748,1680.8663449044,1680.8663449044,1613.4718767403,67.3944681640988,30,831306.597603264,1613.4718767403,688.114163727492,925.357713012809
"06037137502","Census Tract 1375.02","Census Tract 1375.02, Los Angeles County, California","00","06","037","137502",4025,3765,3218,82,15,217,0,7,226,260,145,0,3,0,0,82,30,4025,1710,1710,1654,56,30,428839.830823458,1654,1211,443
"06037137504","Census Tract 1375.04","Census Tract 1375.04, Los Angeles County, California","00","06","037","137504",1944,1878,1695,30,1,73,0,3,76,66,49,3,0,0,0,10,4,1944,717,717,700,17,37,875247.971947948,700,673,27
"06037138000","Census Tract 1380","Census Tract 1380, Los Angeles County, California","00","06","037","138000",4299,4057,3643,74,10,186,4,8,132,242,156,0,3,3,0,61,19,4299,1807,1807,1760,47,35,549529.562008945,1760,1546,214
"06037139001","Census Tract 1390.01","Census Tract 1390.01, Los Angeles County, California","00","06","037","139001",4581.931,3955.465,3297.34,167.889,12.47176,267.6631,3.837463,13.43112,192.8325,626.4659,313.7126,0.9593658,2.878097,3.837463,0,254.2319,50.84639,4581.93107358029,2156.65432441552,2156.65432441552,2097.17364464961,59.4806797659083,30,337384.469750918,2097.17364464961,1023.64331145523,1073.53033319438
"06037139200","Census Tract 1392","Census Tract 1392, Los Angeles County, California","00","06","037","139200",4742.242,3852.396,3241.794,165.1869,5.899534,250.7302,4.916278,16.71535,167.1535,889.8464,455.2474,4.916278,9.832556,1.966511,1.966511,351.0223,64.89487,4742.2419711581,2274.27030464207,2274.27030464207,2167.09543944276,107.174865199302,29,299316.297582039,2167.09543944276,1022.5858697915,1144.50956965126
"06037139301","Census Tract 1393.01","Census Tract 1393.01, Los Angeles County, California","00","06","037","139301",4152,3806,3254,128,6,212,7,0,199,346,202,4,8,3,1,94,34,4152,1558,1558,1502,56,30,465288.058473895,1502,1262,240
"06037139302","Census Tract 1393.02","Census Tract 1393.02, Los Angeles County, California","00","06","037","139302",4338,3392,2278,377,13,313,1,42,368,946,439,15,6,3,0,368,115,4338,1973,1973,1908,65,29,154011.887939043,1908,515,1393
"06037139303","Census Tract 1393.03","Census Tract 1393.03, Los Angeles County, California","00","06","037","139303",4464.758,3371.604,2631.206,198.8131,7.100466,293.2698,3.083722,11.28465,226.8465,1093.154,404.7526,10.08372,9.167444,9.033489,1.033489,554.9777,104.1051,4464.7580288419,2064.72969535793,2064.72969535793,2014.90456055724,49.8251348006981,29,220189.161678748,2014.90456055724,594.414130208496,1420.49043034874
"06037139401","Census Tract 1394.01","Census Tract 1394.01, Los Angeles County, California","00","06","037","139401",2607,2267.756,1930.932,69.20382,3.871543,132.1164,0.4839428,6.291257,124.8572,339.2439,169.38,1.451828,3.871543,0.9678857,0,127.7609,35.81177,2607,1028.86244663078,1028.86244663078,987.727306478559,41.1351401522183,28,803175.4501179,987.727306478559,533.304993502877,454.422312975682
"06037139402","Census Tract 1394.02","Census Tract 1394.02, Los Angeles County, California","00","06","037","139402",2755,2396.497,2040.551,73.13254,4.091331,139.6167,0.5114164,6.648413,131.9454,358.5029,178.9957,1.534249,4.091331,1.022833,0,135.0139,37.84481,2755,1087.27120846482,1087.27120846482,1043.80081678114,43.4703916836829,28,803175.450117899,1043.80081678114,563.580842769631,480.219974011509
"06037139502","Census Tract 1395.02","Census Tract 1395.02, Los Angeles County, California","00","06","037","139502",2887,2655,2317,53,8,119,0,1,157,232,133,3,6,0,0,51,39,2887,1254,1254,1205,49,30,418594.596419535,1205,748,457
"06037139503","Census Tract 1395.03","Census Tract 1395.03, Los Angeles County, California","00","06","037","139503",4763.628,4382.514,3674.56,138.3701,10.73561,230.8156,2.982114,12.52488,312.5255,381.1141,207.5551,3.578536,1.789268,7.753495,1.192845,118.0917,41.15317,4763.62816951886,2698.21633140144,2698.21633140144,2634.39910163576,63.8172297656839,32,247364.203531544,2634.39910163576,846.323822780425,1788.07527885533
"06037139504","Census Tract 1395.04","Census Tract 1395.04, Los Angeles County, California","00","06","037","139504",3223.372,2965.486,2486.44,93.62993,7.264391,156.1844,2.017886,8.475123,211.4745,257.8859,140.4449,2.421464,1.210732,5.246505,0.8071546,79.9083,27.84683,3223.37183048114,1825.78366859856,1825.78366859856,1782.60089836424,43.182770234316,32,247364.203531543,1782.60089836424,572.676177219573,1209.92472114467
"06037139600","Census Tract 1396","Census Tract 1396, Los Angeles County, California","00","06","037","139600",4547,4248,3842,95,5,196,5,9,96,299,187,5,1,4,0,72,30,4547,2229,2229,2145,84,32,822345.53728348,2145,1340,805
"06037139701","Census Tract 1397.01","Census Tract 1397.01, Los Angeles County, California","00","06","037","139701",4571,4341,3998,60,1,173,4,7,98,230,168,1,1,1,1,37,21,4571,1883,1883,1811,72,34,756906.0730252,1811,1619,192
"06037139702","Census Tract 1397.02","Census Tract 1397.02, Los Angeles County, California","00","06","037","139702",6094.129,5884.254,5378.428,79.89648,3,226.6761,0,11.50427,184.7492,209.8746,143.0342,0.1120599,3,0,1,57.61633,5.11206,6094.12876245935,2311.87892466122,2311.87892466122,2261.4781762425,50.4007484187129,30,955899.118216136,2261.4781762425,2173.33196092311,88.1462153193901
"06037139703","Census Tract 1397.03","Census Tract 1397.03, Los Angeles County, California","00","06","037","139703",2798.871,2716.746,2399.572,15.10352,0,129.3239,0,8.495731,164.2508,82.1254,67.96584,1.88794,0,0,0,10.38367,1.88794,2798.87123754065,975.121075338784,975.121075338784,951.521823757497,23.5992515812871,36,1131975.01239545,951.521823757497,881.668039076887,69.8537846806099
"06037139801","Census Tract 1398.01","Census Tract 1398.01, Los Angeles County, California","00","06","037","139801",3446,3343,3103,59,3,124,0,5,49,103,80,1,0,2,0,15,5,3446,1297,1297,1268,29,37,909231.321705644,1268,1229,39
"06037139802","Census Tract 1398.02","Census Tract 1398.02, Los Angeles County, California","00","06","037","139802",3667,3521,3166,44,0,224,0,8,79,146,117,1,0,1,0,15,12,3667,1309,1309,1284,25,34,922495.391019149,1284,1246,38
"06037141101","Census Tract 1411.01","Census Tract 1411.01, Los Angeles County, California","00","06","037","141101",3803,3408.499,2855.61,175.3338,8.816955,204.8576,3.53,12.35232,147.9991,394.5007,193.4784,10.37929,4.997705,3.919242,0,148.6259,33.10017,3803,2139.70913231895,2139.70913231895,2003.61601644836,136.093115870585,30,487020.495642265,2003.61601644836,690.074377446253,1313.54163900211
"06037141102","Census Tract 1411.02","Census Tract 1411.02, Los Angeles County, California","00","06","037","141102",2657,2380.165,1986.876,129.2236,6.129181,139.4389,1.532295,6.129181,110.836,276.8347,135.8635,8.683007,3.064591,2.553825,0,100.11,26.55978,2657,1591.03325643983,1591.03325643983,1473.55728565936,117.475970780469,30,492304.371476377,1473.55728565936,395.332179930796,1078.22510572857
"06037141201","Census Tract 1412.01","Census Tract 1412.01, Los Angeles County, California","00","06","037","141201",3521,3127.934,2650.19,141.3206,10.87082,184.8039,2.288593,17.16445,121.2954,393.0658,217.4163,4.005037,3.432889,4.005037,0,125.8726,38.33393,3521,1992.22001949951,1992.22001949951,1908.11423464413,84.1057848553787,28,481962.113492065,1908.11423464413,548.690120246994,1359.42411439714
"06037141202","Census Tract 1412.02","Census Tract 1412.02, Los Angeles County, California","00","06","037","141202",2633,2339.066,1981.81,105.6794,8.129184,138.1961,1.711407,12.83555,90.70458,293.9342,162.5837,2.994963,2.567111,2.994963,0,94.1274,28.66607,2633,1489.77998050049,1489.77998050049,1426.88576535586,62.8942151446213,28,481962.113492065,1426.88576535586,410.309879753006,1016.57588560286
"06037141302","Census Tract 1413.02","Census Tract 1413.02, Los Angeles County, California","00","06","037","141302",5325,4819,3941,253,13,385,1,16,210,506,243,10,2,1,2,200,48,5325,3002,3002,2848,154,33,445116.769093854,2848,804,2044
"06037141303","Census Tract 1413.03","Census Tract 1413.03, Los Angeles County, California","00","06","037","141303",2797,2565.689,2214.735,90.92909,4.785741,134.5325,1.063498,11.16673,108.4768,231.3108,129.7468,4.785741,1.595247,4.253992,0.531749,70.72262,19.67471,2797,1712.76368821293,1712.76368821293,1625.55684410646,87.2068441064639,31,371959.887222808,1625.55684410646,496.653612167301,1128.90323193916
"06037141304","Census Tract 1413.04","Census Tract 1413.04, Los Angeles County, California","00","06","037","141304",2463,2259.311,1950.265,80.07091,4.214259,118.4675,0.9365019,9.83327,95.52319,203.6892,114.2532,4.214259,1.404753,3.746008,0.468251,62.27738,17.32529,2463,1508.23631178707,1508.23631178707,1431.44315589354,76.7931558935361,31,371959.887222808,1431.44315589354,437.346387832699,994.096768060836
"06037141400","Census Tract 1414","Census Tract 1414, Los Angeles County, California","00","06","037","141400",4286,3948,3414,126,10,218,0,23,157,338,177,2,5,1,0,131,22,4286,1870,1870,1816,54,29,697810.851801216,1816,1087,729
"06037141500","Census Tract 1415","Census Tract 1415, Los Angeles County, California","00","06","037","141500",2951.676,2834.689,2563.719,20.9977,2.999671,171.9811,0.9998904,3.999561,69.99233,116.9872,61.9932,0.9998904,0.9998904,2.999671,0.9998904,25.99715,22.99748,2951.67635468524,1158.87293193774,1158.87293193774,1122.87687883182,35.9960531059176,28,1132927.71646995,1122.87687883182,1073.88225099321,48.99462783861
"06037141600","Census Tract 1416","Census Tract 1416, Los Angeles County, California","00","06","037","141600",3871,3721,3394,47,3,189,1,10,77,150,106,0,0,0,0,29,15,3871,1722,1722,1671,51,29,857524.434847633,1671,1566,105
"06037141700","Census Tract 1417","Census Tract 1417, Los Angeles County, California","00","06","037","141700",2789,2672,2449,54,4,101,1,7,56,117,87,4,2,0,0,18,6,2789,1278,1278,1204,74,29,888380.96026538,1204,1129,75
"06037143100","Census Tract 1431","Census Tract 1431, Los Angeles County, California","00","06","037","143100",3528.371,3213.325,2826.274,144.0132,3.001769,140.0251,1.000214,8.000804,91.00954,315.0463,196.0266,10.00054,2.000429,3.000214,5.360254E-05,84.01415,20.00434,3528.37141201299,2079.22052085747,2079.22052085747,1988.20872829825,91.0117925592233,26,660710.324786423,1988.20872829825,779.055264220724,1209.15346407753
"06037143200","Census Tract 1432","Census Tract 1432, Los Angeles County, California","00","06","037","143200",3748.983,3057.54,2279.166,293.7636,11.99035,308.7516,0,4.99598,158.8722,691.4436,332.7323,6.994372,2.997588,1.998392,2.997588,272.7805,70.94291,3748.98327480125,2063.33967549696,2063.33967549696,2012.38068109001,50.9589944069466,27,484455.398398602,2012.38068109001,422.659894787028,1589.72078630298
"06037143300","Census Tract 1433","Census Tract 1433, Los Angeles County, California","00","06","037","143300",5565,4818,4141,247,13,260,7,10,140,747,400,4,11,3,0,278,51,5565,3040,3040,2940,100,30,502801.848973876,2940,1083,1857
"06037143400","Census Tract 1434","Census Tract 1434, Los Angeles County, California","00","06","037","143400",5358,4934,4282,199,14,244,8,25,162,424,284,10,5,5,0,84,36,5358,2846,2846,2752,94,31,565166.196563501,2752,1214,1538
"06037143500","Census Tract 1435","Census Tract 1435, Los Angeles County, California","00","06","037","143500",4218,3922,3504,93,7,187,5,6,120,296,161,7,2,3,3,94,26,4218,2207,2207,2124,83,33,570459.926599444,2124,1015,1109
"06037143602","Census Tract 1436.02","Census Tract 1436.02, Los Angeles County, California","00","06","037","143602",3773,3515,3154,96,6,137,2,13,107,258,171,2,2,0,0,60,23,3773,2025,2025,1965,60,30,430050.231146495,1965,912,1053
"06037143603","Census Tract 1436.03","Census Tract 1436.03, Los Angeles County, California","00","06","037","143603",2219.017,1976.037,1567.375,152.5281,5.781638,182.2881,2.219996,6.664008,59.17973,242.98,131.6915,2.669623,1.33441,4.4416,1.33441,79.25136,22.25705,2219.01672519875,1447.7657142045,1447.7657142045,1377.57283523938,70.192878965123,27,469434.183648534,1377.57283523938,194.811754181115,1182.76108105827
"06037143604","Census Tract 1436.04","Census Tract 1436.04, Los Angeles County, California","00","06","037","143604",2775,2471.424,1960.459,190.7083,7.22801,227.9603,2.780004,8.340012,73.94811,303.5764,164.5762,3.336005,1.668002,5.560008,1.668002,98.96814,27.80004,2775,1810.89461029854,1810.89461029854,1723.04648367061,87.8481266279303,27,469386.088841584,1723.04648367061,243.528351031857,1479.51813263875
"06037143700","Census Tract 1437","Census Tract 1437, Los Angeles County, California","00","06","037","143700",3498.963,3304.478,2840.707,123.2029,3.520083,183.0443,2.640062,26.40062,124.963,194.4846,125.843,0.8800208,0,0,0,57.20135,10.56025,3498.96269986894,1965.96646667686,1965.96646667686,1863.88405390403,102.082412772836,26,713354.293173117,1863.88405390403,1359.63213563821,504.251918265821
"06037143800","Census Tract 1438","Census Tract 1438, Los Angeles County, California","00","06","037","143800",4650,4426,3913,143,6,212,0,24,128,224,138,2,5,4,0,61,14,4650,2425,2425,2336,89,25,819213.93151966,2336,1390,946
"06037143901","Census Tract 1439.01","Census Tract 1439.01, Los Angeles County, California","00","06","037","143901",3863,3683,3274,66,5,209,0,11,118,180,132,0,1,4,0,39,4,3863,1682,1682,1640,42,28,893656.539379089,1640,1416,224
"06037143902","Census Tract 1439.02","Census Tract 1439.02, Los Angeles County, California","00","06","037","143902",2853,2695,2430,71,5,124,7,4,54,158,104,3,1,0,0,41,9,2853,1434,1434,1396,38,26,806464.439326195,1396,811,585
"06037181000","Census Tract 1810","Census Tract 1810, Los Angeles County, California","00","06","037","181000",6123.578,4416.521,2624.596,73.87623,16.9708,1494.43,2.99493,24.9572,178.696,1707.058,940.3798,6.988019,15.97264,14.97408,2.994817,579.9991,145.749,6123.57849330587,2178.30610520756,2178.30610520756,2125.39467042027,52.911434787295,27,404967.905326981,2125.39467042027,1603.29425204045,522.100418379824
"06037181300","Census Tract 1813","Census Tract 1813, Los Angeles County, California","00","06","037","181300",3767.265,2530.592,1237.036,67.78547,25.82274,1056.196,7.940722,14.9458,120.8652,1236.673,564.444,6.032491,24.91787,14.97042,0,508.5265,117.7813,3767.26459336441,1356.15889689969,1356.15889689969,1327.07367687431,29.0852200253796,29,384379.260744471,1327.07367687431,913.528052945697,413.54562392861
"06037181400","Census Tract 1814","Census Tract 1814, Los Angeles County, California","00","06","037","181400",4439,2753,1247,124,10,1195,5,6,166,1686,654,21,29,3,5,800,174,4439,1609,1609,1559,50,29,288821.808894346,1559,503,1056
"06037181500","Census Tract 1815","Census Tract 1815, Los Angeles County, California","00","06","037","181500",3891,2165,1169,57,14,800,6,9,110,1726,874,6,20,7,0,705,114,3891,1381,1381,1319,62,31,292751.800090107,1319,895,424
"06037181600","Census Tract 1816","Census Tract 1816, Los Angeles County, California","00","06","037","181600",3998,2425.491,1208.862,86.14553,17.65277,981.4942,7.76722,9.179442,114.39,1572.509,636.2059,6.354998,19.77111,10.59166,2.824444,796.4931,100.2677,3998,1140.36912751678,1140.36912751678,1100.12080536913,40.248322147651,29,306532.368327995,1100.12080536913,462.502649240551,637.618156128576
"06037183101","Census Tract 1831.01","Census Tract 1831.01, Los Angeles County, California","00","06","037","183101",3998,1319,744,98,24,372,6,12,63,2679,1116,8,46,9,0,1364,136,3998,1338,1338,1265,73,31,245020.864627263,1265,734,531
"06037183103","Census Tract 1831.03","Census Tract 1831.03, Los Angeles County, California","00","06","037","183103",4005.793,1613.553,687.8833,187.4858,29.39672,582.0551,5.226084,11.10543,110.401,2392.24,866.8767,16.98477,30.04998,8.492387,5.879345,1321.546,142.4108,4005.79338842975,1439.13288237292,1439.13288237292,1369.88726933092,69.2456130420015,31,318481.464283294,1369.88726933092,512.809492811049,857.077776519868
"06037183104","Census Tract 1831.04","Census Tract 1831.04, Los Angeles County, California","00","06","037","183104",2126,856.3633,365.0812,99.50457,15.60176,308.9149,2.773646,5.893999,58.59328,1269.637,460.0786,9.014351,15.94847,4.507175,3.120352,701.3858,75.58187,2126,763.792889758643,763.792889758643,727.042074363992,36.750815394651,31,318481.464283293,727.042074363992,272.164057403783,454.878016960208
"06037183220","Census Tract 1832.20","Census Tract 1832.20, Los Angeles County, California","00","06","037","183220",4363,1170,445,132,17,543,3,5,25,3193,1190,7,28,2,0,1762,204,4363,1194,1194,1145,49,36,219876.040518197,1145,464,681
"06037183221","Census Tract 1832.21","Census Tract 1832.21, Los Angeles County, California","00","06","037","183221",3310,1381.164,768.612,99.94879,15.78139,419.0835,7.01395,9.351934,61.37206,1928.836,820.6322,11.10542,29.80929,11.10542,0,952.1437,104.0403,3310,1135.09094119725,1135.09094119725,1077.81034787215,57.2805933250927,29,273019.21317072,1077.81034787215,507.926893872506,569.883453999647
"06037183222","Census Tract 1832.22","Census Tract 1832.22, Los Angeles County, California","00","06","037","183222",3590,1394.639,691.8212,82.68523,18.66157,522.8042,6.321886,8.721222,63.62362,2195.361,951.3556,9.675452,30.09435,12.59682,0.05581067,1064.564,127.0188,3590,1165.23187457957,1165.23187457957,1110.94771520715,54.2841593724224,30,257471.474999653,1110.94771520715,559.389150120143,551.558565087003
"06037183300","Census Tract 1833","Census Tract 1833, Los Angeles County, California","00","06","037","183300",3739,1178.125,392.4537,32.06821,22.90586,663.5064,3.817643,6.10823,57.26465,2560.875,1147.584,5.344701,27.48703,14.50705,0,1201.031,164.9222,3739,1084.21074127017,1084.21074127017,1042.98019195426,41.2305493159077,32,238893.105822477,1042.98019195426,610.822952828262,432.157239125996
"06037183401","Census Tract 1834.01","Census Tract 1834.01, Los Angeles County, California","00","06","037","183401",2767,1045.252,358.6976,26.81851,11.39787,609.4507,3.352314,2.011388,33.52314,1721.748,775.7255,1.340926,32.85268,14.07972,0,800.5326,97.21711,2767,871.601647685971,871.601647685971,813.271383571602,58.3302641143688,33,253449.340099641,813.271383571602,354.674824327599,458.596559244003
"06037183402","Census Tract 1834.02","Census Tract 1834.02, Los Angeles County, California","00","06","037","183402",2945,1475.33,655.5535,47.33373,12.60054,688.6609,4.726987,4.627785,61.82656,1469.67,633.4972,3.178502,23.98554,11.11933,1.119746,709.2357,87.53386,2945,880.495667750271,880.495667750271,835.869556025714,44.6261117245574,30,268371.61641797,835.869556025714,357.683529610939,478.186026414775
"06037183510","Census Tract 1835.10","Census Tract 1835.10, Los Angeles County, California","00","06","037","183510",2900,527,218,18,11,250,0,2,28,2373,896,26,16,5,6,1216,208,2900,761,761,731,30,31,224372.67169144,731,460,271
"06037183520","Census Tract 1835.20","Census Tract 1835.20, Los Angeles County, California","00","06","037","183520",4138,597,240,64,18,223,7,0,45,3541,1475,8,40,0,4,1826,188,4138,1111,1111,1055,56,36,243019.913325522,1055,285,770
"06037183610","Census Tract 1836.10","Census Tract 1836.10, Los Angeles County, California","00","06","037","183610",3729,710,232,86,14,320,0,1,57,3019,990,28,43,5,8,1685,260,3729,1020,1020,968,52,35,213795.66317987,968,239,729
"06037183620","Census Tract 1836.20","Census Tract 1836.20, Los Angeles County, California","00","06","037","183620",3316,835,347,61,10,362,2,3,50,2481,887,10,20,3,0,1422,139,3316,1020,1020,974,46,30,274054.644208433,974,383,591
"06037183701","Census Tract 1837.01","Census Tract 1837.01, Los Angeles County, California","00","06","037","183701",3876.207,1070.178,463.5621,164.1754,20.52223,363.3673,3.621571,4.828975,50.10037,2806.029,1296.471,12.67543,42.25007,19.9176,0.6038535,1271.749,162.3624,3876.20661157025,1387.03280775009,1387.03280775009,1284.42568589089,102.607121859205,33,246714.273913888,1284.42568589089,423.718757477475,860.706928413413
"06037183702","Census Tract 1837.02","Census Tract 1837.02, Los Angeles County, California","00","06","037","183702",2546,702.9053,304.4734,107.8343,13.47929,238.6627,2.378698,3.171598,32.90533,1843.095,851.574,8.325444,27.75148,13.08284,0.3964497,835.3195,106.645,2546,911.041420118344,911.041420118344,843.644970414202,67.396449704142,33,246712.143255504,843.644970414202,278.307692307692,565.337278106509
"06037183810","Census Tract 1838.10","Census Tract 1838.10, Los Angeles County, California","00","06","037","183810",4776,626.1993,236.1517,86.94767,20.30761,240.203,8.410148,0.0512685,34.12791,4149.801,1489.752,27.15381,52.69186,3.051268,2.102537,2254.642,320.4075,4776,1400.8567653277,1400.8567653277,1296.83245243129,104.024312896406,37,244557.819097181,1296.83245243129,181.715644820296,1115.11680761099
"06037183820","Census Tract 1838.20","Census Tract 1838.20, Los Angeles County, California","00","06","037","183820",3590,410.8007,150.8483,73.05233,5.692389,151.797,7.589852,0.9487315,20.87209,3179.199,1198.248,2.846195,31.30814,0.9487315,1.897463,1751.358,192.5925,3590,1052.1432346723,1052.1432346723,959.16754756871,92.975687103594,32,201945.699036476,959.16754756871,161.284355179704,797.883192389006
"06037185100","Census Tract 1851","Census Tract 1851, Los Angeles County, California","00","06","037","185100",6159,2918,1820,208,22,699,10,11,148,3241,1393,37,37,15,1,1581,177,6159,2294,2294,2190,104,30,326398.848966534,2190,1286,904
"06037185202","Census Tract 1852.02","Census Tract 1852.02, Los Angeles County, California","00","06","037","185202",3827,1208,762,114,5,275,4,9,39,2619,864,11,28,9,5,1543,159,3827,1396,1396,1251,145,29,294668.640996919,1251,641,610
"06037185203","Census Tract 1852.03","Census Tract 1852.03, Los Angeles County, California","00","06","037","185203",3122,971.6549,416.4235,34.11379,7.058026,468.1824,1.176338,4.117182,40.58365,2150.345,835.7879,15.29239,8.234363,4.70535,0.5881688,1201.041,84.69631,3122,968.714016578749,968.714016578749,901.66277317257,67.0512434061794,26,291409.683852939,901.66277317257,512.883195177091,388.779577995479
"06037185204","Census Tract 1852.04","Census Tract 1852.04, Los Angeles County, California","00","06","037","185204",2186,680.3451,291.5765,23.88621,4.941974,327.8176,0.8236624,2.882818,28.41635,1505.655,585.2121,10.70761,5.765637,3.29465,0.4118312,840.9593,59.30369,2186,678.285983421251,678.285983421251,631.33722682743,46.9487565938206,26,291409.683852939,631.33722682743,359.116804822909,272.220422004521
"06037185310","Census Tract 1853.10","Census Tract 1853.10, Los Angeles County, California","00","06","037","185310",3364,324,77,8,6,223,0,0,10,3040,1177,7,28,4,0,1679,145,3364,848,848,809,39,32,247989.732352856,809,333,476
"06037185320","Census Tract 1853.20","Census Tract 1853.20, Los Angeles County, California","00","06","037","185320",3186,395,112,10,4,247,1,0,21,2791,1064,4,7,2,1,1538,175,3186,892,892,854,38,33,255642.918561673,854,326,528
"06037186100","Census Tract 1861","Census Tract 1861, Los Angeles County, California","00","06","037","186100",4877.988,3132.906,1483.719,64.20106,9.172118,1406.594,2.057695,13.05123,154.1108,1745.082,891.4441,13.96632,23.07718,17.02661,0,663.3726,136.1953,4877.98760026917,1836.57196797526,1836.57196797526,1780.6629469593,55.9090210159553,30,299357.405941942,1780.6629469593,1092.29053875452,688.372408204788
"06037186201","Census Tract 1862.01","Census Tract 1862.01, Los Angeles County, California","00","06","037","186201",3137,1583.134,604.2172,83.95114,9.242328,801.7719,2.310582,7.316843,74.32372,1553.866,710.5039,13.86349,17.71446,6.931746,0,694.715,110.1377,3137,1134.88080039283,1134.88080039283,1091.36484164007,43.5159587527621,34,287645.110279314,1091.36484164007,548.378099680825,542.986741959244
