FIPS,Qualifying Name,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Average Commute to Work (In Min),Median Household Income (In 2021 Inflation Adjusted Dollars)
6037311602,"Census Tract 3116.02, Los Angeles County, California",4705,4705,2749,286,9,884,0,208,569,58.43,6.08,0.19,18.79,0,4.42,12.09,32,72011
6037311700,"Census Tract 3117, Los Angeles County, California",6106,6106,4293,175,74,452,0,228,884,70.31,2.87,1.21,7.4,0,3.73,14.48,22,92068
6037311801,"Census Tract 3118.01, Los Angeles County, California",3020,3020,2189,78,52,267,0,327,107,72.48,2.58,1.72,8.84,0,10.83,3.54,29,50817
6037311802,"Census Tract 3118.02, Los Angeles County, California",4447,4447,2292,236,35,604,0,919,361,51.54,5.31,0.79,13.58,0,20.67,8.12,28,94896
6037320101,"Census Tract 3201.01, Los Angeles County, California",3568,3568,2311,104,98,104,0,674,277,64.77,2.91,2.75,2.91,0,18.89,7.76,30,95909
6037320102,"Census Tract 3201.02, Los Angeles County, California",3683,3683,1935,0,0,188,0,1512,48,52.54,0,0,5.1,0,41.05,1.3,34,77350
6037320201,"Census Tract 3202.01, Los Angeles County, California",4135,4135,2331,42,0,36,0,1219,507,56.37,1.02,0,0.87,0,29.48,12.26,24,35750
6037320202,"Census Tract 3202.02, Los Angeles County, California",6297,6297,2910,9,94,138,0,1798,1348,46.21,0.14,1.49,2.19,0,28.55,21.41,32,82292
6037320300,"Census Tract 3203, Los Angeles County, California",6403,6403,3049,28,129,82,0,2353,762,47.62,0.44,2.01,1.28,0,36.75,11.9,30,58446
6037400205,"Census Tract 4002.05, Los Angeles County, California",2523,2523,1288,175,10,629,0,148,273,51.05,6.94,0.4,24.93,0,5.87,10.82,32,213194
