FIPS,Qualifying Name,Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Average Commute to Work (In Min),Median Household Income (In 2021 Inflation Adjusted Dollars)
6037127300,"Census Tract 1273, Los Angeles County, California",3732,3732,1392,202,3,464,15,1002,654,37.3,5.41,0.08,12.43,0.4,26.85,17.52,41,66895
6037127400,"Census Tract 1274, Los Angeles County, California",6291,6291,1751,99,63,176,0,3175,1027,27.83,1.57,1,2.8,0,50.47,16.32,31,60540
6037127520,"Census Tract 1275.20, Los Angeles County, California",4881,4881,1152,298,80,177,0,3060,114,23.6,6.11,1.64,3.63,0,62.69,2.34,32,45070
6037127603,"Census Tract 1276.03, Los Angeles County, California",2757,2757,984,39,14,78,17,1245,380,35.69,1.41,0.51,2.83,0.62,45.16,13.78,32,48889
6037127604,"Census Tract 1276.04, Los Angeles County, California",3288,3288,1426,236,48,230,0,1136,212,43.37,7.18,1.46,7,0,34.55,6.45,36,46750
6037127605,"Census Tract 1276.05, Los Angeles County, California",3827,3827,1151,251,45,32,0,2047,301,30.08,6.56,1.18,0.84,0,53.49,7.87,41,52839
6037127606,"Census Tract 1276.06, Los Angeles County, California",3179,3179,887,62,0,464,0,1173,593,27.9,1.95,0,14.6,0,36.9,18.65,26,58936
6037127711,"Census Tract 1277.11, Los Angeles County, California",3107,3107,1616,263,0,218,0,813,197,52.01,8.46,0,7.02,0,26.17,6.34,34,79556
6037127712,"Census Tract 1277.12, Los Angeles County, California",3752,3752,1687,349,0,232,0,794,690,44.96,9.3,0,6.18,0,21.16,18.39,32,48311
6037127803,"Census Tract 1278.03, Los Angeles County, California",4914,4914,1885,147,25,665,0,1971,221,38.36,2.99,0.51,13.53,0,40.11,4.5,32,57713
6037127804,"Census Tract 1278.04, Los Angeles County, California",4823,4823,1751,211,40,681,0,1628,512,36.31,4.37,0.83,14.12,0,33.75,10.62,35,62560
6037127805,"Census Tract 1278.05, Los Angeles County, California",3545,3545,1150,428,0,182,5,1531,249,32.44,12.07,0,5.13,0.14,43.19,7.02,33,52466
6037127806,"Census Tract 1278.06, Los Angeles County, California",3083,3083,1355,215,0,347,0,1116,50,43.95,6.97,0,11.26,0,36.2,1.62,31,57413
6037127910,"Census Tract 1279.10, Los Angeles County, California",4859,4859,1046,154,59,188,0,3025,387,21.53,3.17,1.21,3.87,0,62.26,7.96,33,52904
6037127920,"Census Tract 1279.20, Los Angeles County, California",4713,4713,2676,13,0,207,0,1499,318,56.78,0.28,0,4.39,0,31.81,6.75,37,64029
6037128101,"Census Tract 1281.01, Los Angeles County, California",2995,2995,1371,228,8,121,0,900,367,45.78,7.61,0.27,4.04,0,30.05,12.25,37,66806
6037128102,"Census Tract 1281.02, Los Angeles County, California",4888,4888,2089,231,16,279,0,1972,301,42.74,4.73,0.33,5.71,0,40.34,6.16,37,56067
6037128210,"Census Tract 1282.10, Los Angeles County, California",5358,5358,1564,205,149,235,0,2219,986,29.19,3.83,2.78,4.39,0,41.41,18.4,33,39409
6037128220,"Census Tract 1282.20, Los Angeles County, California",2779,2779,1525,264,0,126,0,663,201,54.88,9.5,0,4.53,0,23.86,7.23,40,52668
6037128302,"Census Tract 1283.02, Los Angeles County, California",4826,4826,2165,152,0,245,0,1320,944,44.86,3.15,0,5.08,0,27.35,19.56,37,55000
6037128303,"Census Tract 1283.03, Los Angeles County, California",3780,3780,1701,82,0,100,0,1212,685,45,2.17,0,2.65,0,32.06,18.12,31,40887
6037128400,"Census Tract 1284, Los Angeles County, California",4643,4643,2580,634,41,209,0,799,380,55.57,13.65,0.88,4.5,0,17.21,8.18,30,109911
6037128500,"Census Tract 1285, Los Angeles County, California",4145,4145,2735,204,0,312,0,569,325,65.98,4.92,0,7.53,0,13.73,7.84,32,107104
6037128601,"Census Tract 1286.01, Los Angeles County, California",4834,4834,2260,379,80,107,32,891,1085,46.75,7.84,1.65,2.21,0.66,18.43,22.45,35,57891
6037128602,"Census Tract 1286.02, Los Angeles County, California",2892,2892,2324,99,1,89,0,254,125,80.36,3.42,0.03,3.08,0,8.78,4.32,32,88488
6037128703,"Census Tract 1287.03, Los Angeles County, California",3070,3070,2343,327,12,127,0,20,241,76.32,10.65,0.39,4.14,0,0.65,7.85,44,80034
6037128704,"Census Tract 1287.04, Los Angeles County, California",2239,2239,1924,76,5,76,0,148,10,85.93,3.39,0.22,3.39,0,6.61,0.45,35,111319
6037128801,"Census Tract 1288.01, Los Angeles County, California",3807,3807,2415,264,12,361,0,258,497,63.44,6.93,0.32,9.48,0,6.78,13.05,30,75515
6037128802,"Census Tract 1288.02, Los Angeles County, California",4309,4309,2936,392,0,715,13,126,127,68.14,9.1,0,16.59,0.3,2.92,2.95,33,101190
6037128910,"Census Tract 1289.10, Los Angeles County, California",4614,4614,2994,158,0,514,0,357,591,64.89,3.42,0,11.14,0,7.74,12.81,34,105833
6037131021,"Census Tract 1310.21, Los Angeles County, California",3465,3465,950,182,192,415,157,1452,117,27.42,5.25,5.54,11.98,4.53,41.9,3.38,36,57660
6037131022,"Census Tract 1310.22, Los Angeles County, California",2822,2822,1074,157,127,595,0,769,100,38.06,5.56,4.5,21.08,0,27.25,3.54,29,57832
6037131023,"Census Tract 1310.23, Los Angeles County, California",2946,2946,772,120,31,365,0,1490,168,26.21,4.07,1.05,12.39,0,50.58,5.7,32,67941
6037131024,"Census Tract 1310.24, Los Angeles County, California",3905,3905,1476,247,0,208,0,1855,119,37.8,6.33,0,5.33,0,47.5,3.05,32,88125
6037131100,"Census Tract 1311, Los Angeles County, California",3289,3289,1725,46,17,247,0,1029,225,52.45,1.4,0.52,7.51,0,31.29,6.84,28,92292
6037131200,"Census Tract 1312, Los Angeles County, California",3485,3485,2189,176,31,230,15,651,193,62.81,5.05,0.89,6.6,0.43,18.68,5.54,35,86563
6037131300,"Census Tract 1313, Los Angeles County, California",4560,4560,1316,16,1,760,28,2111,328,28.86,0.35,0.02,16.67,0.61,46.29,7.19,36,69111
6037131400,"Census Tract 1314, Los Angeles County, California",6364,6364,2307,203,27,1221,48,1677,881,36.25,3.19,0.42,19.19,0.75,26.35,13.84,32,73421
6037131600,"Census Tract 1316, Los Angeles County, California",4997,4997,1822,198,83,626,0,1535,733,36.46,3.96,1.66,12.53,0,30.72,14.67,34,86103
6037131701,"Census Tract 1317.01, Los Angeles County, California",5602,5602,2876,92,0,973,0,1324,337,51.34,1.64,0,17.37,0,23.63,6.02,27,86900
6037131702,"Census Tract 1317.02, Los Angeles County, California",4135,4135,1436,308,113,614,0,598,1066,34.73,7.45,2.73,14.85,0,14.46,25.78,39,66294
6037131801,"Census Tract 1318.01, Los Angeles County, California",3085,3085,894,29,10,492,0,1334,326,28.98,0.94,0.32,15.95,0,43.24,10.57,34,53668
6037131802,"Census Tract 1318.02, Los Angeles County, California",2564,2564,1240,250,0,367,0,649,58,48.36,9.75,0,14.31,0,25.31,2.26,33,91912
6037131900,"Census Tract 1319, Los Angeles County, California",4468,4468,2230,196,21,385,0,1049,587,49.91,4.39,0.47,8.62,0,23.48,13.14,34,104620
6037132001,"Census Tract 1320.01, Los Angeles County, California",3213,3213,1633,159,68,391,0,401,561,50.82,4.95,2.12,12.17,0,12.48,17.46,29,83750
6037132002,"Census Tract 1320.02, Los Angeles County, California",3596,3596,1662,110,115,120,0,887,702,46.22,3.06,3.2,3.34,0,24.67,19.52,41,87775
6037132101,"Census Tract 1321.01, Los Angeles County, California",4592,4592,1567,94,0,309,0,1148,1474,34.12,2.05,0,6.73,0,25,32.1,29,63254
6037132102,"Census Tract 1321.02, Los Angeles County, California",5347,5347,2381,599,0,708,0,1359,300,44.53,11.2,0,13.24,0,25.42,5.61,34,65901
6037132301,"Census Tract 1323.01, Los Angeles County, California",4074,4074,1023,363,222,1055,0,1210,201,25.11,8.91,5.45,25.9,0,29.7,4.93,31,49987
6037132302,"Census Tract 1323.02, Los Angeles County, California",3359,3359,1359,36,19,480,0,1433,32,40.46,1.07,0.57,14.29,0,42.66,0.95,33,78290
6037132501,"Census Tract 1325.01, Los Angeles County, California",4785,4785,2110,73,0,310,0,2063,229,44.1,1.53,0,6.48,0,43.11,4.79,29,69718
6037132502,"Census Tract 1325.02, Los Angeles County, California",3207,3207,1970,74,0,258,0,712,193,61.43,2.31,0,8.04,0,22.2,6.02,25,42206
6037132700,"Census Tract 1327, Los Angeles County, California",4735,4735,2084,156,0,204,45,1995,251,44.01,3.29,0,4.31,0.95,42.13,5.3,35,69621
6037132900,"Census Tract 1329, Los Angeles County, California",3763,3763,2523,32,131,246,0,483,348,67.05,0.85,3.48,6.54,0,12.84,9.25,34,84242
6037133000,"Census Tract 1330, Los Angeles County, California",4449,4449,2194,81,0,402,0,1334,438,49.31,1.82,0,9.04,0,29.98,9.84,34,77471
6037133101,"Census Tract 1331.01, Los Angeles County, California",1683,1683,1087,54,43,92,0,134,273,64.59,3.21,2.55,5.47,0,7.96,16.22,37,92250
6037133102,"Census Tract 1331.02, Los Angeles County, California",3663,3663,2582,128,0,441,0,388,124,70.49,3.49,0,12.04,0,10.59,3.39,33,42188
6037134001,"Census Tract 1340.01, Los Angeles County, California",3757,3757,1312,139,20,399,0,1611,276,34.92,3.7,0.53,10.62,0,42.88,7.35,30,71809
6037134002,"Census Tract 1340.02, Los Angeles County, California",3760,3760,1587,245,61,331,0,1083,453,42.21,6.52,1.62,8.8,0,28.8,12.05,28,58083
6037134101,"Census Tract 1341.01, Los Angeles County, California",5262,5262,1693,181,7,1183,0,1893,305,32.17,3.44,0.13,22.48,0,35.97,5.8,33,69625
6037134103,"Census Tract 1341.03, Los Angeles County, California",4495,4495,1874,208,39,330,21,1639,384,41.69,4.63,0.87,7.34,0.47,36.46,8.54,29,77357
6037134104,"Census Tract 1341.04, Los Angeles County, California",4308,4308,1241,117,0,1734,26,900,290,28.81,2.72,0,40.25,0.6,20.89,6.73,29,71970
6037134201,"Census Tract 1342.01, Los Angeles County, California",4587,4587,1549,99,99,1263,11,1156,410,33.77,2.16,2.16,27.53,0.24,25.2,8.94,35,86264
6037134302,"Census Tract 1343.02, Los Angeles County, California",4082,4082,1868,40,42,1098,0,822,212,45.76,0.98,1.03,26.9,0,20.14,5.19,33,117938
6037134303,"Census Tract 1343.03, Los Angeles County, California",5556,5556,3092,37,91,785,0,1460,91,55.65,0.67,1.64,14.13,0,26.28,1.64,30,96220
6037134304,"Census Tract 1343.04, Los Angeles County, California",2885,2885,1310,147,0,571,0,752,105,45.41,5.1,0,19.79,0,26.07,3.64,28,67500
6037134305,"Census Tract 1343.05, Los Angeles County, California",3726,3726,1017,103,36,283,0,2025,262,27.29,2.76,0.97,7.6,0,54.35,7.03,25,49375
6037134306,"Census Tract 1343.06, Los Angeles County, California",4387,4387,1742,332,26,820,0,1250,217,39.71,7.57,0.59,18.69,0,28.49,4.95,33,51120
6037134421,"Census Tract 1344.21, Los Angeles County, California",4421,4421,2941,164,27,549,0,7,733,66.52,3.71,0.61,12.42,0,0.16,16.58,33,121964
6037134422,"Census Tract 1344.22, Los Angeles County, California",4809,4809,3077,152,28,921,0,212,419,63.98,3.16,0.58,19.15,0,4.41,8.71,25,141250
